Country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Ethiopia,10014294.0,11500330.0,12954504.0,15809337.0,20963596.0,24532197.0,24959053.0,30275945.0,26117478.0,37408356.0,28043612.0,116974479.0,139001663.0,139262737.0,188241876.0,216427281.0,230418195.0,310801856.0,274695067.0,309524609.0,323002914.0
Swaziland,555121.0,620349.0,719980.0,885803.0,819246.0,591860.0,1948309.0,945642.0,362712.0,722484.0,2474139.0,5334900.0,3678987.0,5965362.0,5646808.0,6884896.0,7739183.0,6343474.0,6041797.0,5471203.0,3464756.0
Cape Verde,2257131.0,1973651.0,2694445.0,3383199.0,3738703.0,6201530.0,13382301.0,13253049.0,15491394.0,13196743.0,24757662.0,39833191.0,47830511.0,26583025.0,23250702.0,49821628.0,43949975.0,29710081.0,11011199.0,8177785.0,6164395.0
Zimbabwe,3425495.0,3851943.0,4921739.0,6500609.0,9273660.0,11260745.0,11962870.0,11974457.0,7637501.0,15421431.0,10869553.0,72099600.0,76780191.0,59139788.0,55574416.0,46509023.0,54691354.0,80107218.0,52038740.0,80623123.0,94995994.0
Liberia,3075417.0,3060944.0,4754186.0,5190172.0,6021943.0,6261281.0,9847332.0,8140989.0,7924698.0,10023419.0,2172588.0,750816.0,18230578.0,40997398.0,35296294.0,44310816.0,40454697.0,35369362.0,23193056.0,31219562.0,31631971.0
Tanzania,1940604.0,2515539.0,5295144.0,6435765.0,6355781.0,5619630.0,5523867.0,7990431.0,8778862.0,31318475.0,33700182.0,20882504.0,25131693.0,35152437.0,31763917.0,36208352.0,40022978.0,33594773.0,23293663.0,23476489.0,14118713.0
Gabon,1189799.0,1370291.0,1479521.0,1930575.0,2574545.0,2247912.0,4199953.0,2794463.0,1722989.0,2706665.0,3570372.0,17503989.0,12662753.0,15105634.0,22657846.0,26613927.0,38348581.0,14664191.0,6741895.0,9816404.0,9992709.0
Lesotho,396624.0,451062.0,472564.0,486414.0,505806.0,643196.0,544324.0,616926.0,588337.0,601836.0,1000474.0,2165337.0,6442557.0,2186648.0,4289205.0,2308873.0,2741797.0,2543933.0,2532657.0,1174793.0,608741.0
Kenya,11876694.0,14172957.0,19939924.0,23390110.0,29584154.0,30595759.0,29374525.0,42263650.0,64794406.0,37806936.0,46529309.0,99648301.0,110827967.0,96315182.0,64753684.0,78856430.0,74344740.0,97425995.0,105394518.0,106815729.0,172544815.0
Somalia,36.0,14.0,839.0,431842.0,1084661.0,2722059.0,8014855.0,10065444.0,9058765.0,27725630.0,30110608.0,27974130.0,28474567.0,34738784.0,35765027.0,41919252.0,30421205.0,33338017.0,34465040.0,50157014.0,31099404.0
Seychelles,169262.0,369311.0,266526.0,554749.0,441460.0,225300.0,617209.0,184630.0,699235.0,2489356.0,2960052.0,1460589.0,1205612.0,1108368.0,1568993.0,2603771.0,3018464.0,2606553.0,2345694.0,2799210.0,1115544.0
Benin,600057.0,803709.0,1239171.0,1913286.0,2781848.0,5356246.0,7917441.0,8526817.0,14506923.0,8059647.0,4325323.0,13563336.0,11724231.0,11643517.0,34083233.0,43181898.0,39431320.0,31499803.0,9725130.0,14641276.0,10288329.0
Cameroon,3885703.0,4203139.0,4708487.0,9280830.0,10836264.0,6293385.0,6068996.0,12706569.0,10973896.0,36742209.0,40959320.0,71579630.0,79547349.0,35467972.0,101344743.0,98002188.0,91862664.0,107929064.0,47906071.0,63958746.0,51075271.0
Togo,1157059.0,1200212.0,1662274.0,2818151.0,3312374.0,3670447.0,4584018.0,4231419.0,2813640.0,5158299.0,8562882.0,24152806.0,39492198.0,35789616.0,20606176.0,53051581.0,36131332.0,48172673.0,30239361.0,30627337.0,19750378.0
Ghana,12581029.0,14219146.0,16068504.0,23538355.0,38058405.0,50330673.0,50930057.0,55951844.0,47279275.0,112341906.0,117532540.0,348472383.0,373642795.0,402148481.0,303552086.0,255599569.0,401814410.0,377607852.0,217703734.0,200734095.0,212793508.0
