Country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Lithuania,2160163.0,3243087.0,3868614.0,5435252.0,4005680.0,7893571.0,18563657.0,13436679.0,18891002.0,36113421.0,65514908.0,880724463.0,53035839.0,34460938.0,28003810.0,27984870.0,30157566.0,17395869.0,15789846.0,10967284.0
Slovenia,2503577.0,3399615.0,3851214.0,4570674.0,5783869.0,8829946.0,13100738.0,9693149.0,21770034.0,15871255.0,11019485.0,13593291.0,14171067.0,10026097.0,11484850.0,19079935.0,16674090.0,18008323.0,9513089.0,5765653.0
Bosnia and Herzegovina,891763.0,1384963.0,1940416.0,25140669.0,23186011.0,15632786.0,33678354.0,39642571.0,70103966.0,79936498.0,112883091.0,109402498.0,87296613.0,90998585.0,73110828.0,62289690.0,42408539.0,25921327.0,25569541.0,20545401.0
Germany,637422125.0,653451169.0,693122634.0,771227752.0,916275036.0,1186249934.0,1379883261.0,1796999418.0,1605914072.0,1081009977.0,1288854683.0,1922100319.0,2583534330.0,1988987180.0,1883613420.0,1721181569.0,1743592083.0,1635234972.0,1272200480.0,1236590794.0,1154551252.0
Armenia,7308579.0,7684146.0,8744998.0,11079752.0,10338102.0,9438285.0,20483963.0,10681556.0,14770298.0,23739256.0,16472908.0,19688660.0,22282735.0,20939382.0,63770135.0,64456719.0,53392667.0,28657571.0,12549570.0,9406890.0
Albania,118269.0,1057313.0,1465650.0,1835953.0,2269935.0,3745081.0,5227861.0,15304728.0,11091642.0,38685009.0,56634300.0,105263789.0,147334523.0,96543558.0,84122578.0,51520176.0,82559868.0,62943128.0,26106544.0,42836059.0,77862538.0
Finland,20264453.0,22679001.0,26097727.0,28442059.0,32303835.0,36217418.0,37177255.0,42613337.0,31720873.0,69518033.0,57398745.0,74627133.0,100607402.0,83287795.0,75929759.0,75272984.0,71225275.0,72369481.0,46694011.0,39418651.0,37713443.0
Azerbaijan,551159.0,1051249.0,3362234.0,3040120.0,4488978.0,5369811.0,3202748.0,3777193.0,4973871.0,9103562.0,17049430.0,17548233.0,17237139.0,17980549.0,29606645.0,49731590.0,36262556.0,11624059.0,15320686.0,11345808.0
Belarus,1751273.0,2651376.0,5274055.0,6374460.0,7083905.0,15208989.0,19801408.0,16168411.0,18132141.0,26279457.0,29039374.0,44127298.0,45059491.0,51727713.0,98025973.0,98591471.0,47793804.0,19099590.0,29645692.0,32927878.0
Hungary,20201943.0,23458158.0,28116466.0,31333705.0,41554527.0,47783052.0,45556723.0,92162318.0,76285220.0,124335461.0,93246769.0,139479163.0,123336497.0,94163965.0,81319121.0,84447762.0,113402486.0,99946092.0,60261559.0,75122530.0,71207378.0
France,282132238.0,310918525.0,359948449.0,433513733.0,534436423.0,604391067.0,676551123.0,688552507.0,660574462.0,936916224.0,801077318.0,817101859.0,912393846.0,985603480.0,878844945.0,1005489431.0,853717161.0,948960217.0,725478260.0,720494434.0,545268199.0
Slovakia,4403840.0,8797333.0,12084385.0,13917366.0,11839695.0,12660811.0,34282540.0,15686347.0,34207237.0,35244503.0,54754349.0,112397883.0,61089029.0,48887097.0,44433624.0,33756025.0,24534558.0,17965083.0,22413526.0,26058451.0
Norway,37772080.0,40387001.0,45294996.0,50130280.0,61534617.0,80195947.0,95390748.0,99038426.0,100715067.0,84057796.0,112815925.0,179124197.0,171063135.0,152635602.0,152236615.0,149509865.0,142093883.0,163984102.0,163680347.0,180714210.0,111786159.0
Ukraine,12154062.0,21777675.0,29383625.0,41626467.0,51215544.0,51104883.0,86427272.0,112033346.0,135927804.0,150293942.0,254639292.0,226898192.0,165029004.0,167850036.0,183342892.0,236054453.0,173471517.0,125722892.0,121500591.0,98769778.0
Liechtenstein,469051.0,535179.0,546105.0,425164.0,294475.0,182812.0,492101.0,331983.0,490626.0,197348.0,4717607.0,9114213.0,11335575.0,8011889.0,32687525.0,25336681.0,37275032.0,54591843.0,8835655.0,8826928.0,3270545.0
Bulgaria,5239923.0,6548082.0,8670456.0,11229933.0,13779012.0,14377324.0,16800492.0,34817847.0,29597901.0,51172995.0,63376605.0,90797150.0,88303551.0,86467093.0,86392949.0,54661159.0,105875781.0,112957082.0,94388885.0,114858645.0,91407665.0
Romania,14478255.0,16849724.0,21603689.0,27110060.0,35169035.0,32400934.0,89395242.0,74105663.0,78657694.0,119254123.0,209367573.0,229381766.0,312254410.0,164226375.0,156277976.0,112921045.0,123317331.0,110727483.0,71859989.0,98432705.0,68241069.0
Cyprus,10546312.0,7218142.0,8745144.0,10408445.0,10553172.0,11606438.0,12700435.0,21599719.0,19330354.0,24778762.0,27218547.0,19974590.0,19490576.0,16576002.0,17173521.0,20531816.0,34320330.0,25223161.0,15762545.0,22705230.0,14408608.0
Sweden,67427320.0,73058146.0,87731222.0,98759910.0,134154543.0,172689747.0,199067314.0,237252498.0,232037189.0,198270472.0,259891322.0,233905879.0,247643585.0,254102930.0,280303595.0,308799529.0,268489804.0,234383898.0,148930759.0,159917738.0,133855296.0
