Country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Canada,2709963985.0,3064208500.0,3431466679.0,3770939609.0,4263663264.0,4825176771.0,4699217931.0,5326657359.0,5635134549.0,5985412994.0,5949364169.0,6654530992.0,6494798616.0,11699831868.0,12718439429.0,10706778831.0,11730681554.0,10827039712.0,10616410083.0,10424486311.0,11761253764.0
Guatemala,96890193.0,103834200.0,117561301.0,129662331.0,143941497.0,141889961.0,161870019.0,213155326.0,264587128.0,413623019.0,1004144388.0,1595836854.0,3023817082.0,3024128079.0,2974369738.0,2484066828.0,2118319133.0,1656229580.0,1603458483.0,1209496664.0,1878820396.0
Dominica,5372424.0,5836430.0,6927207.0,8354015.0,11901541.0,19413712.0,33203935.0,23603723.0,22363416.0,20916671.0,21443222.0,17389650.0,151720754.0,29222419.0,20332629.0,17555345.0,63874582.0,88960573.0,88410683.0,102807072.0,11514654.0
Jamaica,139063768.0,162371271.0,187832230.0,211883206.0,250058490.0,290692218.0,336510910.0,417417098.0,335336274.0,433544031.0,609986612.0,509766397.0,865142099.0,893429595.0,886560929.0,924775713.0,906333624.0,790441006.0,481360090.0,380529378.0,392274210.0
Cuba,22664834.0,9159298.0,21870798.0,98698389.0,114244297.0,135215044.0,157872418.0,90831527.0,101564270.0,41219381.0,56850997.0,66255835.0,143151190.0,105998791.0,164549732.0,252365246.0,317495557.0,196905366.0,172289671.0,211712133.0,276674984.0
Dominican Republic,277905705.0,286503265.0,358716233.0,475708303.0,479071012.0,432276643.0,502392226.0,689685196.0,761030641.0,822462832.0,1155580240.0,913549092.0,1997235017.0,2506461948.0,2212448073.0,1808953611.0,2145836323.0,2443207132.0,2387193484.0,2289557443.0,2675589021.0
Panama,61571495.0,70326007.0,82115012.0,80650510.0,82126636.0,81696192.0,81996286.0,83380695.0,95694723.0,89212032.0,113845424.0,88327660.0,123365937.0,150676860.0,148030401.0,156992185.0,208870576.0,213620053.0,119479807.0,114964293.0,127931834.0
Costa Rica,49014101.0,56439486.0,65329097.0,70835706.0,78922873.0,88910054.0,85792831.0,97538826.0,104659453.0,139246310.0,177762820.0,148407985.0,259517719.0,461621361.0,455886883.0,469439969.0,500480540.0,502377298.0,349980749.0,292633778.0,398209555.0
El Salvador,108421496.0,116804882.0,132592369.0,149169919.0,155470135.0,171410812.0,217196122.0,261178080.0,333636713.0,365629567.0,724491141.0,1087590233.0,1670493110.0,1628692082.0,1567061700.0,1378832840.0,1086529899.0,797191087.0,466147014.0,511757918.0,545311916.0
Haiti,53963736.0,59312056.0,70373753.0,83949993.0,91723331.0,109164746.0,115534510.0,156712192.0,109447585.0,77678996.0,124816910.0,263197056.0,322445941.0,272642138.0,290338121.0,753416391.0,729836252.0,650754765.0,651311629.0,513917633.0,479909870.0
Grenada,8891484.0,9439850.0,10180583.0,11245142.0,15915081.0,19318439.0,70217267.0,76386635.0,53393981.0,37168239.0,34672717.0,47868952.0,44299257.0,49294916.0,51445022.0,49914083.0,53124130.0,39840287.0,17775165.0,21187429.0,35290133.0
Belize,15171216.0,15450825.0,15574070.0,16137132.0,16851242.0,16736220.0,17058548.0,20115623.0,24410077.0,26212984.0,33833354.0,41234909.0,39146468.0,45048655.0,56041417.0,60302220.0,59652387.0,50981989.0,44292249.0,41802449.0,40635035.0
Mexico,1467363208.0,1616236620.0,1909725562.0,2302394995.0,2714059378.0,3147899458.0,3437784060.0,4583252794.0,6275042874.0,5796312343.0,5427663626.0,5094632965.0,10437456808.0,14588808535.0,15912323636.0,13640012391.0,13028524049.0,11339450103.0,9002909097.0,12811913846.0,14976217100.0
Antigua and Barbuda,10415051.0,11325192.0,12848178.0,13606107.0,30243969.0,63412283.0,77365954.0,73636549.0,31834343.0,26064045.0,33670997.0,34110125.0,42825161.0,34618050.0,33768717.0,43423179.0,41319096.0,49229121.0,29344751.0,27902872.0,23296527.0
Barbados,25198824.0,27238375.0,29775636.0,33781112.0,38826581.0,45945655.0,54313239.0,62672451.0,62179485.0,62510192.0,66399362.0,68045362.0,80483608.0,77861314.0,67702909.0,66334770.0,77074406.0,70118531.0,39031576.0,53508346.0,34043667.0
Trinidad and Tobago,61504859.0,66966351.0,73295192.0,84901728.0,98170558.0,107714123.0,119879452.0,151026771.0,144382448.0,156389707.0,113201985.0,185763991.0,353853189.0,387713106.0,300756007.0,242906382.0,296269042.0,289308771.0,214114519.0,239219751.0,168222649.0
Honduras,59766341.0,68246533.0,77957517.0,87796831.0,100585808.0,126101270.0,161799421.0,187971567.0,218778390.0,330461871.0,407761787.0,453682591.0,665174764.0,813209690.0,452948965.0,356287532.0,338625986.0,397492471.0,368186937.0,317714279.0,276617709.0
Nicaragua,29829481.0,33500861.0,43222844.0,47902069.0,51785830.0,58359414.0,70010799.0,124733437.0,103000966.0,72257542.0,64307016.0,168946035.0,307594808.0,315843052.0,354478666.0,294450331.0,331485353.0,208015788.0,175017339.0,170416480.0,222368586.0
