Country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Argentina,78905718.0,100906505.0,134241100.0,196422079.0,274224341.0,279882156.0,273325872.0,268104990.0,194505195.0,426834803.0,133115650.0,462441755.0,676170243.0,713654569.0,781363638.0,741926225.0,787366440.0,596520299.0,502281999.0,598042678.0,360604237.0
Bolivia,19294401.0,22708347.0,26923671.0,30795973.0,34244972.0,40331815.0,53373378.0,52528110.0,49777928.0,53876177.0,54806354.0,78183277.0,166685309.0,197569969.0,204655224.0,249399752.0,415609019.0,288424834.0,182479727.0,183159501.0,175027780.0
Peru,88698283.0,99657076.0,118632428.0,139333797.0,165132370.0,188947188.0,207444163.0,278763887.0,191084401.0,199810409.0,183598694.0,435882124.0,1219920921.0,1157097587.0,1350480968.0,1158634237.0,1570595395.0,1447536378.0,944511958.0,1034217725.0,986486472.0
Brazil,167958439.0,200908601.0,262249117.0,338722768.0,449185516.0,594693193.0,678615171.0,700112531.0,818942631.0,909545760.0,900635256.0,1145413221.0,1110408937.0,1164322843.0,1341454966.0,1321747541.0,1465778128.0,1321026443.0,1054231213.0,1386010761.0,1157317202.0
Ecuador,80701914.0,95830651.0,121532580.0,150676535.0,178035293.0,211431004.0,128239848.0,229199533.0,355112491.0,339641889.0,366196628.0,670383653.0,897522993.0,856989956.0,762520509.0,659425821.0,721493796.0,615921308.0,435141301.0,525351085.0,611726053.0
Chile,44513760.0,57812368.0,65026383.0,77609084.0,94802111.0,139660736.0,155910684.0,124236577.0,93838226.0,189204805.0,261420497.0,376926300.0,414869364.0,489146443.0,324291486.0,267208359.0,274012354.0,222702725.0,204882247.0,196886177.0,250491497.0
Uruguay,15615279.0,17511565.0,19650709.0,23376302.0,30357819.0,34205282.0,39314983.0,44154583.0,46270201.0,58301964.0,51025543.0,49554613.0,101007868.0,106233625.0,119189589.0,96415735.0,88934487.0,94650642.0,62835298.0,66331485.0,63194378.0
Colombia,193707435.0,226177126.0,263667067.0,297687364.0,330608155.0,308222888.0,256527859.0,373806865.0,444419569.0,500824312.0,408637573.0,937000662.0,1618881142.0,1705433889.0,2179238587.0,2566219963.0,3133277277.0,3036148476.0,2155525081.0,2097634146.0,2471133633.0
Suriname,3187550.0,10594366.0,11233593.0,11775831.0,16274072.0,12027376.0,3954251.0,9650508.0,17861290.0,19968481.0,40360113.0,54091392.0,51076852.0,33243747.0,51805236.0,78509574.0,91423925.0,83235939.0,34050308.0,36136250.0,31571708.0
Venezuela,90533386.0,105308218.0,119726267.0,145377271.0,187021208.0,261148641.0,280175066.0,282258210.0,289927619.0,276098992.0,162210657.0,210499214.0,310669471.0,376355405.0,415372600.0,399187526.0,349533093.0,240930473.0,163600845.0,215179232.0,190848594.0
Guyana,25299250.0,31162409.0,40549203.0,85010050.0,98648145.0,68590017.0,53230589.0,65253933.0,64254952.0,59451710.0,87255237.0,130934928.0,126253452.0,143664053.0,126590852.0,153396209.0,223788703.0,114445998.0,94332392.0,112920265.0,114631538.0
Paraguay,8314324.0,9376237.0,11486705.0,14956786.0,17448496.0,12092058.0,18025520.0,22243239.0,29986013.0,32964461.0,27813640.0,44831935.0,61052860.0,51021956.0,42909463.0,64963226.0,77152665.0,62824298.0,49674187.0,71234335.0,79050936.0
