Country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Canada,2709963985.0,3064208500.0,3431466679.0,3770939609.0,4263663264.0,4825176771.0,4699217931.0,5326657359.0,5635134549.0,5985412994.0,5949364169.0,6654530992.0,6494798616.0,11699831868.0,12718439429.0,10706778831.0,11730681554.0,10827039712.0,10616410083.0,10424486311.0,11761253764.0
Turkmenistan,90042.0,150401.0,510622.0,773777.0,432802.0,448599.0,558596.0,288610.0,857432.0,3005716.0,6460453.0,4706373.0,4828956.0,7817183.0,8798676.0,9053447.0,3956171.0,3832528.0,13257709.0,8648802.0
Lithuania,2160163.0,3243087.0,3868614.0,5435252.0,4005680.0,7893571.0,18563657.0,13436679.0,18891002.0,36113421.0,65514908.0,880724463.0,53035839.0,34460938.0,28003810.0,27984870.0,30157566.0,17395869.0,15789846.0,10967284.0
Cambodia,1774847.0,3019363.0,4914361.0,5680809.0,4067049.0,3631193.0,7161097.0,8732319.0,18021700.0,12307236.0,14534096.0,41290370.0,58699364.0,63586797.0,123339770.0,146480713.0,167929512.0,100439824.0,159529197.0,84463702.0
Ethiopia,10014294.0,11500330.0,12954504.0,15809337.0,20963596.0,24532197.0,24959053.0,30275945.0,26117478.0,37408356.0,28043612.0,116974479.0,139001663.0,139262737.0,188241876.0,216427281.0,230418195.0,310801856.0,274695067.0,309524609.0,323002914.0
Aruba,7726382.0,8457146.0,10199472.0,13410049.0,17774941.0,21539160.0,29682601.0,32516088.0,39330295.0,45408749.0,32286644.0,40398916.0,71260686.0,57547965.0,38112918.0,39151805.0,43357924.0,35745192.0,18439604.0,18264255.0,18801959.0
Swaziland,555121.0,620349.0,719980.0,885803.0,819246.0,591860.0,1948309.0,945642.0,362712.0,722484.0,2474139.0,5334900.0,3678987.0,5965362.0,5646808.0,6884896.0,7739183.0,6343474.0,6041797.0,5471203.0,3464756.0
Argentina,78905718.0,100906505.0,134241100.0,196422079.0,274224341.0,279882156.0,273325872.0,268104990.0,194505195.0,426834803.0,133115650.0,462441755.0,676170243.0,713654569.0,781363638.0,741926225.0,787366440.0,596520299.0,502281999.0,598042678.0,360604237.0
Bolivia,19294401.0,22708347.0,26923671.0,30795973.0,34244972.0,40331815.0,53373378.0,52528110.0,49777928.0,53876177.0,54806354.0,78183277.0,166685309.0,197569969.0,204655224.0,249399752.0,415609019.0,288424834.0,182479727.0,183159501.0,175027780.0
"Bahamas, The",54138618.0,58940727.0,66771335.0,70748170.0,77494105.0,85136430.0,101711935.0,117773430.0,105005522.0,134058010.0,130504655.0,135615189.0,178322442.0,165862388.0,130375788.0,139591294.0,175921306.0,161450953.0,128929123.0,155184276.0,142557605.0
Bahrain,10482239.0,9251917.0,9296404.0,11238329.0,14528377.0,13831939.0,16741262.0,17315465.0,12174236.0,13793148.0,15989146.0,36172961.0,41390293.0,27775976.0,38347207.0,30230251.0,29606627.0,19596497.0,23015589.0,23845056.0,26774816.0
Saudi Arabia,70483141.0,78080844.0,90431127.0,103988512.0,119977737.0,131493198.0,130420655.0,136566158.0,134938698.0,224022563.0,235575714.0,441168403.0,488722771.0,552416668.0,433049607.0,379094703.0,354695460.0,435047052.0,224276767.0,266563800.0,340676115.0
Cape Verde,2257131.0,1973651.0,2694445.0,3383199.0,3738703.0,6201530.0,13382301.0,13253049.0,15491394.0,13196743.0,24757662.0,39833191.0,47830511.0,26583025.0,23250702.0,49821628.0,43949975.0,29710081.0,11011199.0,8177785.0,6164395.0
Slovenia,2503577.0,3399615.0,3851214.0,4570674.0,5783869.0,8829946.0,13100738.0,9693149.0,21770034.0,15871255.0,11019485.0,13593291.0,14171067.0,10026097.0,11484850.0,19079935.0,16674090.0,18008323.0,9513089.0,5765653.0
Guatemala,96890193.0,103834200.0,117561301.0,129662331.0,143941497.0,141889961.0,161870019.0,213155326.0,264587128.0,413623019.0,1004144388.0,1595836854.0,3023817082.0,3024128079.0,2974369738.0,2484066828.0,2118319133.0,1656229580.0,1603458483.0,1209496664.0,1878820396.0
