Country,Beta0 (Coeff),Beta1 (Price),e0 (Coeff),e1 (Price),t0 (Coeff),t1 (Price),95%% Coeff. Int (Coeff),95%% Coeff. Int (Price)
Afghanistan,11.0474179255,-3.2978807883,0.63758376241,0.409419606077,17.3270063901,-8.05501431625,"[9.71293977406, 12.3818960769]","[-4.15480587217, -2.44095570444]"
Albania,14.7580570331,-1.43010849085,0.212069426133,0.118918446595,69.5906868906,-12.0259600743,"[14.314190623, 15.2019234432]","[-1.67900766008, -1.18120932161]"
Algeria,15.4149609341,-1.1737936479,0.0991663597904,0.0594375957321,155.445465243,-19.7483366116,"[15.2074033576, 15.6225185105]","[-1.29819796551, -1.0493893303]"
Andorra,11.9656167338,-0.840165285561,0.306834608484,0.149501927606,38.9969592833,-5.61976222659,"[11.3234045175, 12.6078289501]","[-1.15307641622, -0.527254154902]"
Angola,14.8492218333,-1.28479701072,0.204637403193,0.129377046493,72.5635763628,-9.93064106459,"[14.4209108259, 15.2775328406]","[-1.55558628112, -1.01400774032]"
Antigua and Barbuda,16.9842835787,-0.213117058344,0.203088631794,0.13540507919,83.6299079308,-1.57392218681,"[16.5592141872, 17.4093529702]","[-0.496523146178, 0.0702890294897]"
Argentina,18.8003514134,-0.481815738295,0.131927114231,0.06245406413,142.505591235,-7.71472193214,"[18.5242247899, 19.0764780369]","[-0.612533596815, -0.351097879775]"
Armenia,16.1205000309,-0.404650437412,0.138184287819,0.0753200823119,116.659428401,-5.37241098246,"[15.830185615, 16.4108144468]","[-0.562892058414, -0.24640881641]"
Aruba,16.5706753113,-0.388076399664,0.205813954509,0.132963437677,80.5128852939,-2.91867002271,"[16.1399017537, 17.0014488688]","[-0.666372073078, -0.109780726249]"
Australia,19.2982879168,-0.479576919908,0.124648864708,0.0635012769033,154.821208858,-7.55224057365,"[19.0373948446, 19.559180989]","[-0.612486619952, -0.346667219864]"
Austria,18.0257222115,-0.217484742571,0.158042527621,0.0913961131279,114.05614984,-2.37958415438,"[17.6949353995, 18.3565090234]","[-0.408779005827, -0.0261904793151]"
Azerbaijan,14.3458707905,-1.1234197433,0.17776894156,0.107741741999,80.6995342637,-10.4269684382,"[13.9723921031, 14.7193494779]","[-1.34977674372, -0.897062742881]"
"Bahamas, The",18.1040671439,-0.297812778027,0.0815801958236,0.0458312509467,221.917426909,-6.49802856948,"[17.9333178317, 18.2748164561]","[-0.393738688702, -0.201886867351]"
Bahrain,16.4614466773,-0.299594987713,0.0935127658507,0.0621025270048,176.034218725,-4.82419962862,"[16.265722209, 16.6571711456]","[-0.429577070574, -0.169612904852]"
Bangladesh,17.6109216873,-0.623639766371,0.120576494648,0.0529850942716,146.056009827,-11.770098269,"[17.3585521836, 17.863291191]","[-0.734538843206, -0.512740689535]"
Barbados,17.4295574149,-0.26559291962,0.123367908656,0.08501689044,141.281128981,-3.12400181005,"[17.1713454145, 17.6877694152]","[-0.443535316342, -0.0876505228978]"
Belarus,15.6750988874,-1.09197235905,0.154120028321,0.11349670337,101.707085433,-9.62118129097,"[15.3513047231, 15.9988930517]","[-1.33042008465, -0.853524633442]"
Belgium,18.4691305009,-0.371113945382,0.0789843895107,0.0410166689002,233.832667636,-9.0478811501,"[18.3038142737, 18.634446728]","[-0.456962820022, -0.285265070742]"
Belize,16.7302602392,-0.56870757821,0.0620412759855,0.0536643880437,269.663380926,-10.5974855755,"[16.6004063562, 16.8601141222]","[-0.68102843325, -0.456386723169]"
Benin,14.3273360073,-1.18409966534,0.196833283069,0.125309662308,72.7891939,-9.44938836745,"[13.9153592111, 14.7393128035]","[-1.4463758028, -0.921823527882]"
Bermuda,17.6346864565,-0.0617502560646,0.091166677979,0.0507409491389,193.433465466,-1.21697085121,"[17.4438724065, 17.8255005064]","[-0.167952283156, 0.0444517710266]"
Bhutan,11.7047427932,-0.990744780987,0.177097091254,0.101488937062,66.0922362438,-9.7620963394,"[11.3340743213, 12.0754112652]","[-1.20316356751, -0.778325994459]"
Bolivia,17.1297871621,-0.806104244936,0.0986650046759,0.0564960626143,173.615632193,-14.2683261033,"[16.923278934, 17.3362953902]","[-0.924351862967, -0.687856626905]"
Bosnia and Herzegovina,15.8834385966,-1.06487490093,0.384103372937,0.262070305017,41.3519893749,-4.06331766914,"[15.0764673546, 16.6904098385]","[-1.61546418083, -0.514285621028]"
Botswana,14.2870794896,-1.03407354972,0.141783446732,0.0850522752935,100.766907695,-12.1580939034,"[13.9903233251, 14.5838356541]","[-1.21209000779, -0.856057091646]"
Brazil,19.5380333172,-0.60463489738,0.111102083408,0.0627846395951,175.856588084,-9.63029972425,"[19.3054939841, 19.7705726502]","[-0.736044658299, -0.47322513646]"
Bulgaria,16.1181107965,-1.08797638313,0.117905642909,0.0777545499286,136.70347236,-13.9924465401,"[15.8713314497, 16.3648901432]","[-1.25071852647, -0.925234239786]"
Burundi,13.5746212424,-0.710913062104,0.177629272037,0.0938805177771,76.4210824419,-7.57253026439,"[13.2028389033, 13.9464035816]","[-0.907407244052, -0.514418880156]"
Cambodia,15.777072251,-0.943920807178,0.105759416094,0.0552864670177,149.178889538,-17.0732705144,"[15.5548799628, 15.9992645393]","[-1.06007336426, -0.827768250094]"
Cameroon,15.6758058796,-1.22431873685,0.113920552431,0.0794068540489,137.602965796,-15.418300492,"[15.4373674231, 15.9142443361]","[-1.39051919246, -1.05811828124]"
Canada,21.5983659329,-0.453010961915,0.1229039981,0.0510370433823,175.73363167,-8.87612079176,"[21.3411249085, 21.8556069573]","[-0.55983272138, -0.34618920245]"
Cape Verde,15.4815346236,-0.790225893407,0.16681843317,0.111099868577,92.8046998729,-7.11275272898,"[15.1323796302, 15.8306896169]","[-1.02276059078, -0.557691196034]"
Cayman Islands,16.939485756,-0.333706412325,0.122625052375,0.0820953422228,138.140497622,-4.0648641359,"[16.6828285717, 17.1961429403]","[-0.505533938353, -0.161878886298]"
Central African Republic,13.1204933478,-0.693538435825,0.206668759317,0.15173057192,63.4856152967,-4.57085495066,"[12.6879306633, 13.5530560324]","[-1.01111417264, -0.375962699008]"
Chad,13.2621220977,-1.19426128433,0.128202970637,0.0783391391815,103.446293263,-15.2447588371,"[12.9937901963, 13.5304539991]","[-1.35822698703, -1.03029558162]"
Chile,18.2135715792,-0.515480042689,0.153755904342,0.0874474103698,118.457705134,-5.89474337215,"[17.8917567729, 18.5353863855]","[-0.698509576089, -0.33245050929]"
China,19.3696618252,-0.593678683608,0.110235395756,0.0566026157792,175.711818262,-10.4885379489,"[19.1389364902, 19.6003871601]","[-0.712149319976, -0.47520804724]"
