Country,Beta0 (Coeff),Beta1 (Ratio),Beta2 (Price),e0 (Coeff),e1 (Ratio),e2 (Price),t0 (Coeff),t1 (Ratio),t2 (Price),95%% Coeff. Int (Coeff),95%% Coeff. Int (Ratio),95%% Coeff. Int (Price)
Afghanistan,10.8885305706,-3.53544742195,-0.0899422812622,0.691032049793,0.550932273947,0.136890133119,15.7569110925,-6.41720877344,-0.657039913784,"[9.43672610672, 12.3403350346]","[-4.69291317896, -2.37798166493]","[-0.377537779023, 0.197653216499]"
Albania,15.1246431099,-1.14534801956,0.11626301837,0.202938650426,0.128084141925,0.0346817869175,74.5281545836,-8.9421531998,3.35227878097,"[14.6982848264, 15.5510013934]","[-1.41444281633, -0.876253222781]","[0.0433992878398, 0.189126748899]"
Algeria,15.4048086434,-1.02946524105,0.193399609064,0.0919130681934,0.0894837966939,0.094574516827,167.601941119,-11.5044877295,2.04494419377,"[15.2117064526, 15.5979108341]","[-1.21746372177, -0.841466760334]","[-0.00529407778257, 0.392093295911]"
Andorra,11.9064880309,-0.902543959774,-0.0202670406102,0.327052306675,0.183756921756,0.0335197159576,36.4054549926,-4.91161884488,-0.604630440064,"[11.2193766315, 12.5935994303]","[-1.28860292674, -0.51648499281]","[-0.0906893506481, 0.0501552694277]"
Angola,14.2431663037,-0.657280117675,0.726246652686,0.118811872673,0.0955071554537,0.0862003202853,119.879991647,-6.88199867907,8.4251038776,"[13.9935518218, 14.4927807857]","[-0.857933205568, -0.456627029781]","[0.545146499923, 0.907346805449]"
Antigua and Barbuda,16.9533588906,-0.0907428961338,0.137478885671,0.204728036014,0.178665556684,0.131388228121,82.8091707451,-0.507892499361,1.04635618911,"[16.5232412475, 17.3834765337]","[-0.466105302002, 0.284619509735]","[-0.138557538616, 0.413515309958]"
Argentina,18.2449978345,-0.39799416084,0.657644349254,0.159890308701,0.0489810870099,0.152300532637,114.109466563,-8.12546607549,4.31806992311,"[17.9090807609, 18.5809149081]","[-0.500899606094, -0.295088715586]","[0.337672803496, 0.977615895012]"
Armenia,16.1836172059,-0.414044824605,-0.0345206133502,0.247253276537,0.0829559625399,0.110786368244,65.4536005856,-4.9911400209,-0.311596217995,"[15.6619583914, 16.7052760204]","[-0.589066606646, -0.239023042564]","[-0.268259418883, 0.199218192182]"
Aruba,16.3581243417,-0.0561620171322,1.07355815149,0.125072503793,0.0946040561301,0.174809341311,130.789133067,-0.593653374174,6.14130883075,"[16.0953567618, 16.6208919215]","[-0.254917763752, 0.142593729488]","[0.706297353489, 1.44081894949]"
Australia,19.2746612676,-0.496486796825,-0.0776154685572,0.14834638644,0.084561131882,0.247908356745,129.930102985,-5.87133575173,-0.313081291717,"[18.9629970747, 19.5863254604]","[-0.674143142544, -0.318830451107]","[-0.598451599203, 0.443220662088]"
