Country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Canada,0.896014542987,0.954197937839,0.952769167776,0.911724764766,0.749076032482,0.766888640843,0.699505533673,0.679059652119,0.548238333732,0.590695076614,0.671177694568,0.689940892564,0.645038260116,0.708487740454,0.764470413387,0.615948659881,0.618318329131,0.538480702621,0.482837639016,0.482660422905,0.682997607591
Guatemala,2.61908339454,3.71180857895,4.58999065926,4.54508215598,6.11349616906,4.61428816724,4.51822070608,5.70781836165,4.89112209648,4.30610625396,11.5985657086,13.4603808348,11.3281075006,7.69207631114,4.36656804108,3.85908036165,2.46775234138,4.11949371794,3.15107417152,2.05886787788,8.91193264754
Dominica,1.91154092481,2.15458487427,2.20696170955,2.13712221176,2.68228040039,4.38695833345,7.8722492476,5.79813845245,4.89296116335,4.12846850496,3.11872469144,2.58791652306,3.27784630235,6.59063607229,5.94534527668,2.14122370451,14.4765280401,56.7411387189,78.4069030532,33.9541782234,5.89280856164
Jamaica,1.63970016632,2.11422098513,2.60078291456,2.38922968963,2.49648781399,2.91260823204,3.24110438154,3.85024913523,2.83307885693,3.18898980209,3.10647905566,2.85822177282,4.21729036987,3.98124250311,3.29782605136,2.36567820605,1.75936321544,1.28334286498,0.346370601562,0.134666451396,1.98024030441
Cuba,3.15931717546,1.37282609217,2.01068668099,8.4902672594,74.9287383928,60.7013475816,65.4013911098,6.12702823283,15.6043049232,10.7551022272,214.0297001,2032.88644453,23.8339985375,93.8903197976,1220.06177801,316.537533176,148.13522299,45.0473031837,39.3140173485,107.16638995,5.96940651744
Dominican Republic,2.75190722863,2.30065575088,2.59187827368,2.43765591412,1.91493827534,2.00466767779,2.21877321406,2.82645291814,1.73611859343,2.14087434667,2.11714670565,2.12826924076,8.16282108706,4.8741852053,4.65037868528,3.83967155333,3.91760509137,4.73409927808,4.33327270269,4.60876292888,5.49881843562
Panama,1.81042047075,2.02719293735,2.55211047369,2.268600678,2.29078105975,2.20255190878,2.16912760931,2.46629445394,3.04407500633,2.9590951644,5.70694432455,2.72083639242,2.10030969905,1.33162819862,1.42985381994,1.45361599887,1.69222318203,1.98583419722,1.36192271106,1.12753684846,1.14044516857
Costa Rica,1.65865016733,1.69855517366,1.69308360217,1.57535936116,1.64198070173,1.70794739656,1.61544659816,2.02916511645,1.64854226266,1.94372989443,2.41734072859,1.74131162756,2.62002969124,3.3426937534,3.45447717518,3.47526416311,3.76896512694,5.16960186545,3.8320660067,3.45767985883,1.99069866617
El Salvador,6.38796406811,7.48058919474,8.25008536779,8.68317837448,7.87585825352,6.72560546446,6.76665888009,5.269843048,2.33083319599,2.9554629562,5.1633232273,5.86276380585,7.27294583603,3.95116000431,2.13593992579,1.39616240427,0.794335608937,0.731421395696,0.395508760912,0.359025647405,1.28654256294
Haiti,4.24408833762,5.42605208793,5.09551742919,4.01467611723,6.4937322043,10.9438956249,8.09925259568,11.5263504824,11.7424337683,4.87590975684,7.59233873788,7.14318899624,6.90966850617,4.78430720936,9.04169724288,11.4816188828,9.33736663313,10.1895600513,7.75809134349,6.59887762323,4.019132301
Grenada,2.30174250881,2.47127231183,2.43194712323,2.4537003822,3.22198938358,4.06665281535,15.0965137349,12.9118065662,5.49604075763,1.89226899453,2.00988557824,2.75382180962,5.1254194989,9.94243603107,2.91664835435,1.17117495772,2.03036931886,11.6994321823,13.5420336251,54.4174367536,37.1827341692
Belize,2.4504230477,2.4070867393,2.43848314316,2.32077352157,2.27655189278,2.00635994315,1.71826721873,2.57995602347,2.35086835468,3.20930462616,3.52670219218,4.0550162732,4.75462904596,3.94331117427,4.40080357395,4.08726580931,3.67049508906,3.36916766169,2.21748498004,1.55385228711,1.12634591083
Mexico,1.20538000032,1.19499682594,1.2752047925,1.37752308089,1.43128654536,1.6705777503,1.58232070667,2.0386915581,1.99267750355,1.704679746,1.8721266343,1.49512450321,1.82871691189,4.35473798284,4.25915103859,3.22535791431,2.81284379352,2.68269197047,2.66519631633,4.03465309821,2.50868821969
Antigua and Barbuda,1.00906487514,1.01513452523,1.10067828531,1.0154459867,2.24885865324,4.4557262488,5.44234686664,5.84306037408,2.66786375923,2.03735878276,2.33796558994,1.97776727534,2.29369618069,1.85857328909,2.41992183721,4.06779464293,5.35443673773,13.1661475533,17.4354807468,211.24456423,7.96278977084
Barbados,1.57815797573,1.65739740469,1.57154203219,1.5260768494,1.61411071505,1.8134593989,2.15946943438,3.3449962052,4.13771869934,3.91858348187,2.39308129044,2.48652987299,2.25935439709,2.45593457142,1.4852434352,0.961148458084,0.890455139246,0.829829514274,0.516904614621,0.966903763882,0.75777127148
Trinidad and Tobago,1.72043950596,1.8193205417,1.77023969555,1.60654843821,1.84331408602,1.83690683959,1.90233239904,2.70852591096,2.37242660654,2.8800633059,2.56920492854,4.77720906198,2.74357874226,2.76778808766,1.28131413605,1.00835568235,1.0187295619,1.2973775239,1.3129458685,1.74450839896,2.46324719396
Honduras,2.89850709744,3.09186027905,3.36007211541,6.54594877633,5.37129584615,5.50413482507,6.02708581312,6.72933220464,5.38297181106,5.43905229618,10.971867814,13.2993960781,14.2363917981,15.7808454412,11.3155475104,2.04942830339,1.04630385899,1.45222328709,1.52970466122,3.54067106531,0.329637115579
Nicaragua,3.62301095303,3.98179652616,4.85645567231,3.93333143381,4.95611110239,4.86595590979,4.26476388853,6.34974622587,6.70095654932,2.70018853383,3.38196499654,10.0477769775,14.0813137263,15.7403479668,6.03072575144,2.58855863644,2.1895979488,1.7151105586,1.11539406269,0.765289735508,1.23056694606
