Country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Canada,0.896014542987,0.954197937839,0.952769167776,0.911724764766,0.749076032482,0.766888640843,0.699505533673,0.679059652119,0.548238333732,0.590695076614,0.671177694568,0.689940892564,0.645038260116,0.708487740454,0.764470413387,0.615948659881,0.618318329131,0.538480702621,0.482837639016,0.482660422905,0.682997607591
Turkmenistan,1e-06,1e-06,1e-06,1e-06,1e-06,3.39852876559,1.46896120084,1.17557208378,2.45599482124,13.0451894031,35.0715115522,10.5676175122,10.5695112022,25.0846607537,99.1824781315,1e-06,1e-06,1e-06,113.174460493,23.3007042367
Lithuania,2.09599210569,2.04236711745,2.23504066112,2.53830965288,1.88109373254,3.55143927942,9.81544517705,3.83683016631,2.02001710454,11.094125862,14.9362102212,71.7062188986,9.50818513875,6.02303477185,4.26247326804,5.43164557208,12.4584784392,8.54112793229,5.29313173423,15.5555486214
Cambodia,1.92253206843,3.70405814881,5.13259911434,26.3144171353,3.31141140799,1.25291923983,5.85983794629,5.30352587773,170.327769692,4.6681231751,5.13147273071,11.3467751155,18.5286173966,9.65999730193,20.0115471418,27.3164842096,37.8328348417,26.2856335309,32.0585148712,3.71083755196
Ethiopia,3.73365372068,3.81336975494,4.62194370967,5.42785254025,6.02135029745,6.68695296874,6.8124929375,7.45411828719,3.60389606089,5.11228609725,7.22784309662,17.650503979,19.9144381388,17.3260631071,25.7777233063,38.1308783126,21.2256118186,25.6305342615,24.0404575698,21.9674958719,6.35780468992
Aruba,0.72611745229,0.683131491131,0.760076226178,1.02347301208,1.45807505564,1.62873989597,2.60127028668,2.46706414547,2.94141849647,3.42567927034,1.74177396944,2.27214887159,2.45949078884,1.73259527684,2.78425562989,2.31233860148,2.86127874928,2.8959861661,1.76655017149,1.72014982725,1.62450133869
Swaziland,1.20477856439,1.78064721686,1.66718381675,1.95127125178,2.23977231718,1.52495645632,5.64730520177,4.02966719223,0.990523837873,1.9966836354,7.62427736758,6.17568205812,0.437516916826,10.0272340969,9.56897965824,12.409913661,11.4579195314,8.29544105224,8.7553393134,8.60203353269,4.09423670491
Argentina,1.53497451524,1.93417766023,2.12013853564,3.36130993869,6.11424473394,3.62575656059,2.96538528437,2.91007027738,1.34544142242,3.71235532888,1.29802232543,2.07570060442,3.00473431789,3.16890235556,3.71891810486,4.20975570129,4.15425769785,4.60226098109,3.27503291321,3.97363616765,2.35839170066
Bolivia,2.30017712927,2.50188145044,2.75331390596,3.14291637912,3.59047253782,3.74426919573,4.08466186773,4.0550103992,3.3445895753,3.49309047759,5.16767968476,4.76889615722,5.01529510979,7.66261441759,4.05335468977,4.68788595682,17.222790736,10.7015070165,11.5722291325,18.4802879083,8.53503441267
"Bahamas, The",0.803322277948,0.798923721781,0.830425967793,0.79141324288,0.841430738685,0.91667072765,1.02347900289,1.39390449363,0.806365897867,1.05624588912,1.39563635689,1.23078865604,1.63108049371,1.24689127777,1.05250071933,1.15623042061,1.26111164302,1.56158648939,0.925630074927,1.13420750417,2.61515900107
